Shape Area,Quality Flags,GeoUID,Type,Households,CD_UID,Dwellings,Population,name,CSD_UID,CT_UID,CMA_UID,Region Name,Area (sq km),Population (n),Total private dwellings (n),Population density per square kilometre,Median Value of Dwellings ($),Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),Occupied private dwellings (n),Single-detached house,Semi-detached house,Row house,Apartment or flat in a duplex,Apartment with <5 stories,Apartment with 5 or more stories,Other single attached house,No Bedrooms,1 Bedroom,2 Bedrooms,3 Bedrooms,4 or more bedrooms,Dwelling Density
0.0713,"0","35204567",DA,"3069","3520","3383","6837","35204567","3520005","5350065.02","35535","35204567",0.0713,6837,3383,95890.6,452000,1940,1100,3070,0,0,0,0,35,3030,0,250,1795,870,140,0,47447.4053295933
0.0415,"0","35204578",DA,"1542","3520","1737","2410","35204578","3520005","5350063.03","35535","35204578",0.0415,2410,1737,58072.3,700000,2300,1940,1540,0,0,0,0,0,1540,0,85,970,555,15,0,41855.421686747
0.0272,"0","35204579",DA,"1026","3520","1166","1537","35204579","3520005","5350063.03","35535","35204579",0.0272,1537,1166,56507.4,900000,1800,1470,1025,0,0,10,0,50,965,0,95,610,285,0,0,42867.6470588235
0.0247,"0","35204580",DA,"618","3520","701","922","35204580","3520005","5350063.03","35535","35204580",0.0247,922,701,37327.9,750000,1340,1350,615,0,0,10,0,70,535,5,70,425,120,0,0,28380.5668016194
0.0419,"0","35204581",DA,"650","3520","724","1068","35204581","3520005","5350063.04","35535","35204581",0.0419,1068,724,25489.3,,,1780,650,0,5,25,0,100,525,0,10,340,315,20,10,17279.2362768496
0.0274,"0","35204582",DA,"521","3520","586","715","35204582","3520005","5350063.04","35535","35204582",0.0274,715,586,26094.9,,,1190,520,0,0,0,0,95,425,0,90,335,60,0,0,21386.8613138686
0.0369,"0","35204583",DA,"368","3520","411","610","35204583","3520005","5350063.06","35535","35204583",0.0369,610,411,16531.2,700000,1720,1570,365,0,5,15,0,180,170,0,55,150,115,20,0,11138.2113821138
0.0379,"0","35204584",DA,"1357","3520","1552","2133","35204584","3520005","5350063.04","35535","35204584",0.0379,2133,1552,56279.7,700000,2120,1700,1360,0,0,5,0,30,1315,0,50,950,405,65,0,40949.8680738786
0.0337,"0","35204585",DA,"580","3520","645","862","35204585","3520005","5350063.04","35535","35204585",0.0337,862,645,25578.6,700000,2000,1520,580,0,10,30,0,60,480,0,30,310,190,30,0,19139.4658753709
0.048,"0","35204586",DA,"554","3520","678","913","35204586","3520005","5350034.01","35535","35204586",0.048,913,678,19020.8,755000,1620,1940,555,5,10,60,10,40,425,10,65,215,195,100,25,14125
